UniqueID,Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
95,137.3932,78,Male,None,High,Lagging,Low,0.9345794,2.75,2.246377,2,30
239,138.5526,31,Male,None,Low,Lagging,Low,0.7220216,3,2.68705,2.5,33
89,138.9734,67,Male,None,Low,Lagging,Medium,0.8474576,2.5,1.944245,1.75,29
329,139.1553,87,Female,None,Medium,Lagging,Low,1,2.75,2.332734,2.25,32
247,139.3432,89,Male,None,Medium,Lagging,High,1.041667,2.5,2.046429,2,31
117,139.4667,35,Female,None,Low,Lagging,Low,0.723589,2.75,2.267857,2,29
255,140.3929,71,Female,None,Low,Lagging,Medium,0.8741258,2.5,2.12766,1.75,30
197,141.1849,37,Female,None,High,Lagging,Low,0.7183908,2.75,2.515957,2.25,31
154,141.1849,38,Male,None,Medium,Lagging,Low,0.7662836,3,2.320922,2.25,32
134,141.5338,45,Male,None,Medium,Lagging,Low,0.7692308,3,2.610915,1.5,32
326,141.7592,78,Female,None,Low,Lagging,Low,0.9276438,3,2.764085,2.5,32
270,141.9424,93,Male,None,Low,Lagging,Low,1.149425,2.75,2.491197,2,33
8,142.7652,87,Female,WalkingStick,Low,Lagging,Low,1.176471,2.75,2.178322,2,32
240,142.7652,89,Female,None,High,Lagging,Low,1.02459,3,2.398601,2.25,33
112,143.6787,52,Male,None,High,Lagging,Low,0.7968128,2.75,2.390625,2.25,33
205,144.0443,51,Female,None,High,Lagging,Low,0.7936508,3,2.512153,1.75,33
237,145.0592,30,Female,None,Medium,Immediate,Medium,0.7117438,2.75,2.389655,2.25,33
67,145.977,92,Male,None,High,Lagging,Low,1.136364,3,2.464041,2,33
195,146.4037,80,Male,None,Medium,Immediate,Low,0.952381,3,2.481292,2.25,32
66,146.5884,78,Male,None,Low,Lagging,Low,0.9345794,2.75,2.435374,2.5,31
13,146.7702,65,Female,WheelChair,Low,Immediate,Low,0.9282465,3,2.210884,2.25,31
229,147.8706,55,Male,None,High,Lagging,Low,0.8,3,2.717906,2.75,29
84,148.8395,88,Male,None,Medium,Lagging,Medium,1.030928,2.5,2.102349,1.75,30
201,149.0242,21,Male,None,Low,Lagging,High,0.6734006,2.25,1.855705,2,32
199,149.7562,27,Female,None,Low,Lagging,Low,0.7072136,2.5,1.963333,1.5,29
33,149.9372,96,Male,None,Low,Immediate,Low,1.265823,3,2.563333,2,31
12,150.9917,41,Male,None,Low,Immediate,Low,0.7604563,2.5,2.301325,2,31
56,150.9917,91,Female,None,Medium,Immediate,Low,1.086957,2.75,2.307947,2.25,31
194,150.9917,66,Male,None,High,Lagging,High,0.8403361,2.5,2.279801,1.75,31
196,152.4927,67,Male,None,Low,Lagging,Low,0.8474576,3,2.542484,2.25,33
18,155.4659,52,Female,None,High,Lagging,Low,0.7980846,2.75,2.349359,2.75,33
200,157.9215,78,Female,None,Low,Lagging,Low,0.9276438,3,2.414557,2.25,32
88,158.1021,83,Female,None,High,Lagging,Low,0.9541985,3,2.53481,2.25,32
160,158.6896,52,Male,None,Medium,Lagging,Medium,0.7968128,2.75,2.113208,2.25,29
99,158.8747,91,Female,None,Medium,Lagging,Medium,1.086957,2.5,2.261006,2,32
171,158.8747,48,Male,None,Low,Lagging,Low,0.7874016,2.75,2.253145,2.25,32
107,159.6068,95,Female,None,Medium,Lagging,Low,1.25,2.75,2.353125,2.25,31
122,159.9735,56,Male,None,High,Lagging,Low,0.8064516,3,2.590625,2.5,32
45,160.1548,36,Female,None,High,Lagging,Medium,0.7194245,2.75,2.451562,2.25,31
207,161.2591,72,Female,None,Medium,Lagging,Low,0.8833923,3,2.481366,2.75,31
52,162.4198,29,Male,None,Medium,Lagging,Low,0.7194245,3,2.657975,2.75,31
311,162.6034,82,Male,None,Low,Lagging,Low,0.9708738,3,2.845092,2.25,29
211,163.3344,62,Female,None,Low,Lagging,Low,0.8237233,3,2.545732,2.25,31
106,163.3344,91,Male,None,Medium,Lagging,Medium,1.123595,2.5,2.262195,2,32
321,164.0696,41,Male,None,Medium,Lagging,Low,0.7604563,3,2.45122,2.25,30
156,164.0696,99,Male,None,High,Lagging,Medium,1.315789,2.25,1.922256,1.75,33
20,164.8225,23,Male,None,Low,Lagging,Low,0.6872852,3,2.359091,2,32
163,164.8225,93,Female,None,Medium,Lagging,Medium,1.149425,2.5,2.012121,2,33
175,165.7366,72,Male,None,Medium,Lagging,Low,0.8849558,2.75,2.051205,1.5,32
180,165.7366,87,Female,None,Medium,Lagging,High,1,2.25,1.938253,1.5,30
262,166.4758,57,Female,None,Low,Lagging,Low,0.8116883,2.5,2.25,2.25,30
75,166.6633,58,Female,None,Low,Lagging,Medium,0.8156607,2.75,2.404192,2,30
252,168.5019,72,Female,None,Low,Lagging,Low,0.8833923,3,2.454142,2.5,31
225,169.0543,85,Male,None,Medium,Lagging,Low,1,3,2.47929,2.5,31
97,170.3376,86,Male,None,Low,Lagging,High,1.010101,2.5,1.983918,2,29
55,170.9547,58,Female,None,Medium,Immediate,Low,0.8156607,3,2.466374,2.5,32
320,170.9547,38,Female,None,Low,Lagging,High,0.7204611,2.5,2.064327,1.75,31
300,171.0889,50,Male,None,Low,Lagging,High,0.7843137,2.25,1.821637,2,33
188,171.8738,54,Male,None,Medium,Lagging,Low,0.8097166,2.75,2.292151,2.5,29
243,172.6283,91,Female,None,Low,Lagging,Low,1.086957,3,2.729769,2.5,32
148,172.9954,33,Male,None,Medium,Lagging,Low,0.7380074,2.75,2.330925,2,31
158,173.1835,35,Female,None,Medium,Lagging,Low,0.723589,3,2.377168,2,31
28,174.2701,52,Female,None,Medium,Immediate,Low,0.7980846,3,2.663793,2.25,32
221,174.8337,75,Male,None,High,Lagging,Low,0.9090909,2.75,2.322857,2.25,30
19,175.0158,45,Male,None,Low,Lagging,Low,0.7692308,3,2.411429,3,33
178,176.2806,50,Female,None,High,Lagging,Medium,0.7874016,2.75,2.31392,1.75,31
250,177.0324,88,Female,None,Low,Lagging,Low,1.01833,3,2.39548,2,29
136,177.5813,30,Male,None,Medium,Lagging,Medium,0.7142857,2.75,2.453652,2,32
167,179.2323,65,Female,None,Low,Lagging,Low,0.8354219,3,2.399441,3,31
47,179.4135,76,Female,None,High,Lagging,Low,0.9149131,3,2.640278,2,33
308,180.8674,96,Female,None,High,Lagging,Low,1.388889,2.75,2.290055,2.25,31
125,181.4104,28,Female,None,Medium,Lagging,Low,0.7092199,2.75,2.342033,2,32
296,181.778,98,Male,WheelChair,High,Lagging,Low,1.443002,2.75,2.431319,2,32
216,182.2958,47,Male,None,Medium,Lagging,Medium,0.78125,2.75,2.348901,1.5,33
93,185.1811,78,Male,None,Medium,Lagging,Low,0.9345794,2.75,2.433784,2,30
50,186.5837,67,Male,None,Low,Lagging,Low,0.8474576,3,2.417112,2.5,32
303,186.5837,26,Male,WalkingStick,Medium,Lagging,Low,0.8198402,2.75,2.36631,2.25,31
271,186.5837,49,Male,None,Low,Lagging,Low,0.7936508,3,2.354278,2.25,32
132,188.4698,40,Male,None,Medium,Lagging,Low,0.7547169,3,2.601852,2.5,30
115,188.4698,39,Female,None,Low,Lagging,Low,0.7407407,2.75,2.441799,2.75,33
189,189.027,63,Female,WalkingStick,High,Lagging,Medium,0.9787608,2.75,2.255291,2,31
111,189.7622,46,Female,None,Low,Lagging,Low,0.7794232,2.75,2.396053,2.25,31
257,191.4565,82,Male,None,High,Lagging,Low,0.9708738,3,2.688802,2.25,30
41,191.8121,61,Male,None,Medium,Immediate,Low,0.8196721,3,2.496094,3,32
104,192.5598,36,Male,None,High,Immediate,Medium,0.7490637,2.75,2.339378,2.5,30
69,192.9186,78,Female,None,Low,Lagging,Low,0.9276438,2.75,2.213731,2,32
130,193.47,53,Female,None,High,Lagging,Low,0.8038585,3,2.54768,2.25,32
