Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment
83.23475,34,Male,None,Medium,Lagging
83.37614,45,Female,None,High,Lagging
83.6057,38,Male,None,Low,Lagging
83.9441,71,Female,None,High,Lagging
83.9441,78,Male,None,Medium,Lagging
83.9441,85,Male,None,High,Lagging
83.9441,69,Male,None,Medium,Lagging
84.59634,94,Male,None,Low,Lagging
84.59634,70,Male,None,Low,Lagging
85.05366,88,Female,None,High,Lagging
85.05366,51,Female,None,Low,Lagging
85.05366,67,Male,None,Medium,Lagging
85.27068,88,Male,None,Medium,Immediate
85.40707,34,Male,None,Low,Immediate
85.40707,28,Female,None,Medium,Lagging
85.59779,85,Male,None,Medium,Immediate
85.71987,44,Female,None,Low,Lagging
85.93548,65,Female,None,High,Lagging
86.06267,93,Female,None,Medium,Lagging
86.06267,55,Male,None,Medium,Lagging
86.27022,40,Female,None,Low,Lagging
86.27022,65,Male,None,Medium,Lagging
86.60793,41,Male,None,Medium,Lagging
86.60793,28,Male,None,High,Lagging
86.60793,81,Male,None,Low,Immediate
86.92792,39,Female,None,High,Lagging
87.05254,28,Male,None,Medium,Lagging
87.05254,23,Male,None,Medium,Lagging
87.27439,77,Female,None,High,Lagging
87.72548,49,Female,None,High,Lagging
87.93072,60,Male,None,High,Lagging
88.05396,81,Male,None,Low,Immediate
88.26645,20,Male,None,Medium,Lagging
88.26645,87,Female,None,Medium,Immediate
88.26645,77,Male,None,High,Lagging
88.39352,79,Male,None,Medium,Immediate
88.88744,38,Male,None,Low,Lagging
88.88744,47,Female,None,Medium,Lagging
88.88744,50,Male,None,Medium,Immediate
89.24089,37,Female,None,Low,Lagging
89.24089,46,Female,None,Low,Lagging
89.57112,87,Male,None,Low,Lagging
89.7756,78,Male,None,Medium,Lagging
90.09692,96,Male,None,Low,Lagging
90.21315,88,Female,None,High,Lagging
90.21315,76,Male,None,Medium,Immediate
90.43839,60,Female,None,Medium,Lagging
90.43839,51,Female,None,Medium,Lagging
90.57518,23,Male,None,Low,Lagging
90.77562,73,Male,None,Low,Lagging
90.77562,86,Male,None,Medium,Lagging
90.90591,24,Male,None,Low,Lagging
90.90591,58,Female,None,Low,Lagging
91.09005,91,Female,None,Medium,Immediate
91.27073,60,Male,None,High,Lagging
91.27073,23,Male,None,High,Lagging
91.60869,98,Male,None,Low,Lagging
92.04571,98,Female,None,Low,Immediate
92.04571,86,Female,None,High,Lagging
92.04571,58,Male,None,Low,Lagging
92.27145,20,Male,None,Medium,Lagging
92.27145,79,Female,None,Medium,Lagging
92.71857,58,Female,None,High,Lagging
92.71857,23,Male,None,Low,Lagging
92.92602,86,Male,None,Medium,Lagging
92.92602,70,Female,None,High,Lagging
93.04987,42,Female,None,Medium,Lagging
93.04987,34,Female,None,Medium,Lagging
93.27733,42,Female,None,High,Lagging
93.4145,62,Female,None,Medium,Lagging
93.60225,33,Male,None,High,Lagging
93.60225,46,Male,None,Medium,Lagging
93.60225,26,Male,None,Low,Lagging
93.73522,50,Male,None,High,Lagging
94.25703,27,Male,None,High,Lagging
94.25703,96,Female,None,Medium,Immediate
94.25703,31,Male,None,High,Lagging
94.25703,52,Male,None,High,Lagging
94.73885,57,Male,None,Medium,Lagging
94.73885,73,Male,None,Medium,Lagging
94.73885,86,Female,None,Low,Immediate
94.9338,33,Female,None,Low,Lagging
94.9338,57,Female,None,High,Lagging
95.05586,76,Male,None,Medium,Immediate
95.38784,23,Male,None,High,Lagging
95.38784,86,Female,None,Low,Lagging
95.59178,82,Male,None,High,Immediate
95.59178,74,Female,None,Medium,Lagging
95.71267,63,Male,None,Medium,Lagging
96.06527,24,Female,None,Medium,Lagging
96.25893,84,Female,None,High,Lagging
96.60262,87,Male,None,Low,Lagging
96.60262,53,Male,None,High,Lagging
96.9321,59,Female,None,Medium,Lagging
96.9321,84,Male,None,Medium,Lagging
96.9321,48,Male,None,High,Lagging
97.05228,72,Female,None,High,Lagging
97.26896,24,Female,None,High,Lagging
97.38789,83,Female,None,Medium,Lagging
97.61115,31,Female,None,Low,Lagging
97.61115,35,Female,None,High,Lagging
97.74435,24,Male,None,High,Lagging
98.06522,39,Female,None,Low,Lagging
98.06522,78,Female,None,High,Lagging
98.25874,22,Female,None,Low,Immediate
98.37666,73,Female,None,High,Lagging
98.60022,73,Female,None,Low,Lagging
