Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
63.86529,61,Female,None,High,Lagging,Low,0.8223684,1.2,0.83125,1.2,70
63.86529,42,Male,None,Low,Lagging,Low,0.7662836,1.2,0.8124999,0.8,71
64.15051,44,Female,None,Low,Immediate,Medium,0.7806401,1.2,1.015385,1,68
64.45179,89,Female,None,Medium,Lagging,Low,1.02459,1.2,0.8800001,0.8,72
64.84876,33,Male,None,High,Lagging,High,0.7380074,1.8,1.310769,1.6,70
65.07933,31,Male,None,High,Lagging,Low,0.7220216,1.4,0.9242424,0.8,70
65.909,83,Female,None,High,Lagging,Low,0.9541985,1.2,0.8030304,0.8,69
66.56248,89,Female,None,Medium,Lagging,Low,1.02459,1.2,0.8716419,0.8,71
66.56248,98,Female,None,Low,Lagging,Low,1.587302,1.2,0.8537313,0.6,71
66.56248,59,Male,None,Low,Lagging,Low,0.8264462,1.2,0.8567166,0.8,67
66.82384,32,Male,None,Medium,Lagging,Low,0.729927,1.2,0.8597015,0.8,69
67.07505,54,Female,None,Medium,Lagging,Low,0.8084074,1.2,0.9,1,70
67.75242,54,Female,None,Medium,Lagging,Low,0.8084074,1.2,0.8058823,0.6,71
67.75242,85,Male,None,Medium,Immediate,High,1,1.4,1.070588,1.2,66
67.75242,37,Male,None,Medium,Lagging,High,0.7575758,1.6,1.288235,1,67
67.75242,93,Female,None,Medium,Lagging,Low,1.149425,1.2,0.8235295,0.8,70
67.75242,72,Male,None,Low,Lagging,Low,0.8849558,1,0.864706,0.8,67
68.20985,54,Male,None,Low,Lagging,Low,0.8097166,1.4,1.005797,1,66
68.49702,25,Male,None,Low,Lagging,Low,0.6896551,1.2,0.8028986,0.6,69
68.49702,50,Male,None,Medium,Lagging,Low,0.7843137,1.2,0.8985509,1.2,71
69.19731,81,Female,None,Medium,Lagging,Low,0.9433963,1.2,0.8514286,1.2,68
69.59997,95,Female,None,Low,Lagging,Medium,1.25,1.4,1.042857,0.8,73
70.07101,22,Male,None,Medium,Lagging,Low,0.6802721,1,0.746479,0.8,67
70.25672,77,Female,None,Medium,Lagging,Medium,0.9225093,1.4,1.126761,1.2,70
70.68246,94,Male,None,High,Lagging,High,1.162791,1.6,1.301409,1.4,64
71.66364,80,Female,None,Medium,Lagging,Medium,0.9372071,1.4,1.055556,1.4,71
72.07262,36,Female,None,Medium,Lagging,Low,0.7194245,1.2,0.8739726,1,70
72.47037,40,Female,None,Low,Immediate,Low,0.7621951,1.2,0.8000001,1,70
72.7542,98,Male,None,Low,Lagging,Medium,1.298701,1.4,1.109589,1,66
72.7542,81,Male,None,Medium,Immediate,Low,0.9615385,1,0.6767125,0.6,70
73.74515,89,Male,None,Low,Lagging,Low,1.041667,1.2,0.7810811,0.6,70
74.48582,60,Male,None,Low,Lagging,Low,0.8130081,1.2,0.7386666,0.8,70
74.75062,32,Male,None,Low,Lagging,Low,0.729927,1,0.8026667,0.8,73
75.55819,50,Female,None,Medium,Lagging,High,0.7874016,1.4,1.126316,1,73
75.55819,81,Female,None,Medium,Lagging,Low,0.9433963,1.2,0.8342105,0.8,67
76.62991,27,Male,None,High,Lagging,Low,0.7042254,1.2,0.722078,0.8,69
76.9974,34,Female,WheelChair,Low,Lagging,Low,0.8016675,1.2,0.8103896,0.8,68
77.26563,65,Female,None,Low,Lagging,Low,0.8354219,1.4,0.8128207,0.6,72
77.52839,82,Male,None,Medium,Lagging,Low,0.9708738,1.2,0.8564103,0.8,73
78.38408,79,Female,None,Medium,Lagging,Low,0.9328358,1.2,0.7974683,0.6,67
78.47992,96,Female,None,High,Lagging,Medium,1.388889,1.4,0.9924051,1.4,68
78.78545,88,Male,None,Low,Lagging,Low,1.030928,1.2,0.7949367,0.6,71
78.98413,24,Female,None,Medium,Lagging,Low,0.7062147,1.2,0.8835443,1.2,71
79.15464,57,Male,None,Low,Lagging,Low,0.8130081,1.4,0.8699999,0.8,69
79.23815,34,Female,None,Low,Lagging,Medium,0.7215007,1.4,1.15,1.4,71
79.93961,90,Male,None,Low,Lagging,Low,1.111111,1.2,0.845,0.6,68
80.13388,48,Female,None,Medium,Lagging,Medium,0.7849293,1.4,1.034568,1,70
80.26731,48,Female,None,Low,Lagging,Low,0.7849293,1.2,0.832099,1,68
80.26731,28,Male,None,Low,Lagging,Low,0.7117438,1.2,0.8543209,1.2,72
80.56807,34,Female,None,Low,Immediate,Low,0.7215007,1,0.6888888,1,74
81.06916,52,Female,None,High,Lagging,Low,0.7980846,1,0.6731708,0.8,74
81.65556,46,Male,None,Medium,Lagging,Low,0.7751938,1.2,0.8731707,1,70
81.76909,85,Female,None,Low,Lagging,Low,0.9633911,1.4,0.9634144,0.8,70
81.76909,64,Female,None,Low,Lagging,Low,0.8368201,1,0.8780486,1,67
82.86924,51,Male,None,Medium,Lagging,Low,0.7905138,1.2,0.8771084,0.8,71
82.96111,63,Male,None,Medium,Lagging,Low,0.8333333,1.4,0.9180723,1.4,68
83.47276,83,Female,None,High,Lagging,Low,0.9541985,1,0.8571428,1,70
83.56703,52,Male,None,Low,Lagging,Low,0.7968128,1.2,0.8285716,1,69
83.56703,56,Female,None,Medium,Lagging,Low,0.8064516,1.2,0.7738095,1,69
83.56703,96,Male,None,Medium,Immediate,Low,1.265823,1.2,0.8047619,1.2,68
83.64041,75,Female,None,Low,Lagging,Low,0.9082652,1.2,0.9619046,1,68
83.96313,90,Female,None,Low,Lagging,Low,1.052632,1.4,0.9428572,0.8,65
84.05527,68,Female,None,Medium,Lagging,Low,0.8547009,1.2,0.6611765,0.6,68
