Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Initial Stress,Maximum Stress,Average Stress,Stress on Exit
173.2627,99,Female,None,Medium,Lagging,1.785714,0,0,1.785714
173.2627,99,Female,WakingStick,Low,Lagging,2.10084,0,0,2.10084
175.2677,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
175.7596,99,Male,WakingStick,Low,Lagging,1.547988,0,0,1.547988
182.5185,99,Male,WakingStick,Low,Immediate,1.547988,0,0,1.547988
182.5185,99,Female,WakingStick,Low,Immediate,2.10084,0,0,2.10084
183.7857,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
185.7724,99,Female,None,Low,Lagging,1.785714,0,0,1.785714
194.2697,99,Female,WakingStick,Low,Lagging,2.10084,0,0,2.10084
196.2694,99,Female,WakingStick,Medium,Lagging,2.10084,0,0,2.10084
200.7733,99,Female,WakingStick,Low,Immediate,2.10084,0,0,2.10084
201.7756,99,Female,WakingStick,Low,Lagging,2.10084,0,0,2.10084
202.5284,99,Male,WakingStick,Low,Lagging,1.547988,0,0,1.547988
216.0125,99,Male,None,Low,Lagging,1.315789,0,0,1.315789
226.7795,99,Female,WheelChair,Low,Lagging,1.984127,0,0,1.984127
252.7828,99,Female,WheelChair,Low,Lagging,1.984127,0,0,1.984127
307.0114,99,Female,WakingStick,Low,Lagging,2.10084,0,0,2.10084
