Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment
237.339,92,Male,None,Medium,Lagging
237.7954,36,Female,WheelChair,Low,Lagging
238.0326,86,Male,None,Medium,Immediate
238.0326,89,Female,None,Low,Immediate
238.257,80,Female,None,Low,Lagging
238.7361,27,Female,None,Low,Lagging
238.7361,86,Female,None,Medium,Lagging
238.9806,45,Male,None,Low,Lagging
239.2644,29,Female,None,Low,Immediate
239.2644,51,Female,None,Medium,Lagging
239.5486,51,Female,None,Low,Lagging
239.8254,69,Female,None,Medium,Lagging
240.3531,36,Male,None,Low,Lagging
240.5978,63,Male,None,Medium,Lagging
240.5978,49,Male,None,High,Lagging
241.1019,44,Male,None,High,Lagging
241.1019,27,Male,None,High,Lagging
241.5793,25,Male,WakingStick,Medium,Lagging
242.2982,59,Female,None,Low,Lagging
242.2982,74,Female,None,High,Lagging
242.5184,46,Female,None,High,Lagging
242.5184,87,Female,None,Medium,Lagging
243.4711,47,Male,WakingStick,High,Lagging
243.9121,32,Female,None,Low,Lagging
244.1598,25,Male,None,Low,Lagging
244.1598,86,Male,None,High,Lagging
244.405,38,Female,WheelChair,Low,Lagging
244.6656,56,Male,None,High,Lagging
244.9319,31,Female,WheelChair,Low,Lagging
244.9319,32,Male,None,High,Lagging
245.7159,30,Female,None,High,Lagging
245.7159,40,Female,None,Medium,Lagging
246.1955,79,Male,None,Low,Lagging
246.1955,69,Male,None,High,Lagging
246.1955,84,Female,None,High,Lagging
246.4596,49,Female,WheelChair,Medium,Lagging
246.7282,89,Female,None,Low,Lagging
247.0076,46,Female,None,High,Lagging
247.2927,28,Female,WheelChair,Low,Lagging
247.2927,83,Male,None,Low,Lagging
247.2927,22,Female,None,Low,Immediate
247.2927,56,Male,None,High,Lagging
247.5538,54,Male,WheelChair,High,Lagging
247.8093,37,Male,None,High,Lagging
248.0675,50,Male,None,Low,Lagging
248.0675,41,Female,None,Low,Lagging
248.3327,25,Female,None,High,Lagging
248.5925,42,Male,None,Medium,Lagging
248.5925,27,Female,None,High,Lagging
248.8465,48,Female,None,Low,Lagging
249.1071,48,Male,None,High,Lagging
249.1071,90,Female,None,High,Lagging
249.6387,76,Female,None,Low,Lagging
249.8927,43,Female,None,Low,Lagging
249.8927,47,Male,None,Low,Lagging
