UniqueID,Time to Evacuate,Age,Gender,Disability,SpatialKnowledge,Observation of Environment,Emergency Training,Initial Stress,Maximum Stress,Average Stress,Stress on Exit,Number of Peers
80,120.7361,64,Male,None,Medium,Lagging,Low,0.8403361,3,2.458678,2,27
149,121.1257,65,Female,None,Low,Immediate,Low,0.8354219,2.75,2.231405,1.75,25
135,121.3884,73,Male,None,Low,Lagging,Low,0.8928571,2.75,2.247952,2,23
261,122.5904,86,Male,None,Low,Lagging,Low,1.010101,2.75,2.45935,2.25,27
195,122.985,39,Male,None,Low,Lagging,Low,0.7751938,2.75,2.197155,2,25
223,124.162,21,Female,None,High,Lagging,Low,0.7012623,3,2.403226,1.75,26
210,124.5999,48,Female,None,Low,Lagging,Medium,0.7849293,2.5,2.062001,2,27
148,124.7313,95,Male,None,High,Lagging,Low,1.25,2.75,2.066001,2.25,25
86,125.3949,22,Male,None,High,Lagging,Low,0.6802721,3,2.567461,2.5,26
11,125.5338,75,Female,None,Low,Immediate,Low,0.9082652,2.75,2.15873,2,24
54,126.1748,27,Male,None,Low,Lagging,Medium,0.7042254,2.5,2.230159,2.25,25
107,126.738,83,Female,None,High,Lagging,Low,0.9541985,3,2.291338,2,22
52,127.3939,89,Male,None,Medium,Lagging,Low,1.041667,3,2.388672,2.25,26
71,130.3272,86,Female,None,Low,Lagging,Low,0.9803922,2.75,2.341604,2.25,27
132,131.4132,24,Female,None,High,Lagging,Low,0.7062147,3,2.494318,2.25,24
61,133.2783,56,Female,None,Medium,Lagging,Medium,0.8064516,2.5,2.261279,1.75,26
88,133.6861,81,Male,None,High,Immediate,Low,0.9615385,3,2.466418,2.25,24
95,134.3504,75,Male,None,High,Immediate,Low,0.9090909,2.75,2.35926,2.5,24
191,137.1454,89,Male,None,Low,Lagging,Low,1.041667,3,2.500001,2.25,25
138,139.019,88,Female,None,High,Lagging,Low,1.01833,2.75,2.178057,2,24
214,139.5587,75,Female,None,Low,Lagging,Medium,0.9082652,2.75,2.426786,2.25,26
136,140.8862,47,Female,None,Low,Immediate,Low,0.78125,3,2.365249,2.25,26
224,141.728,99,Female,None,Medium,Lagging,Low,1.785714,3,2.392605,2.25,26
179,141.9825,62,Male,None,Low,Immediate,Low,0.8264462,3,2.794014,2.5,24
199,142.9293,95,Male,None,Low,Lagging,Low,1.25,2.75,2.127622,2,26
158,143.7266,77,Male,WheelChair,Low,Lagging,Low,1.028807,2.75,2.210069,2,25
82,143.9852,27,Male,None,Low,Immediate,Low,0.7042254,3,2.425347,2.25,26
104,147.1855,36,Female,None,High,Immediate,Low,0.7194245,2.75,2.465987,2.75,25
185,147.4483,88,Female,None,Medium,Lagging,Low,1.01833,2.75,2.219595,2,27
142,148.5228,56,Female,None,High,Immediate,Low,0.8064516,3,2.506711,2,27
213,149.9856,35,Male,None,Low,Lagging,Low,0.7407407,3,2.728333,2.5,25
254,150.1163,81,Male,None,High,Lagging,Low,0.9615385,3,2.451667,2,25
105,150.1163,89,Male,None,Low,Lagging,Low,1.041667,2.75,2.405,2,26
141,151.0193,38,Male,None,Medium,Lagging,Low,0.7662836,3,2.463576,2.5,26
58,151.1451,40,Female,None,Low,Lagging,Low,0.7621951,3,2.296357,2.25,24
20,153.0087,86,Female,None,Low,Immediate,Low,0.9803922,2.75,2.25,2.25,25
42,153.0087,44,Female,None,Medium,Lagging,Low,0.7806401,3,2.397059,2.25,26
212,154.7414,96,Female,None,Low,Immediate,Low,1.388889,3,2.529032,2.5,27
59,155.9375,38,Female,None,High,Lagging,Medium,0.7204611,2.75,2.415063,1.75,25
110,158.2091,79,Female,None,Low,Lagging,Low,0.9328358,3,2.314872,2,25
192,158.2091,64,Female,None,Low,Lagging,Low,0.8368201,3,2.504748,2,26
106,158.7461,98,Female,None,Medium,Lagging,Low,1.587302,3,2.50629,2.5,26
200,160.2172,37,Female,None,Medium,Lagging,Low,0.7183908,2.75,2.537499,2.25,25
40,163.0312,32,Male,None,Low,Immediate,Low,0.729927,3,2.463189,1.75,26
170,163.5544,57,Female,None,Medium,Lagging,Low,0.8116883,3,2.650914,3,27
89,163.6988,51,Female,None,Low,Immediate,High,0.7936508,2.5,2.044206,2,26
108,164.4887,76,Female,None,High,Immediate,Low,0.9149131,2.75,2.436364,2.25,24
70,165.4234,44,Female,None,Medium,Lagging,Low,0.7806401,3,2.346385,2,27
146,166.0976,42,Male,None,Medium,Lagging,Low,0.7662836,2.75,2.368975,2,26
153,167.4325,31,Female,None,Medium,Lagging,Low,0.7107321,3,2.553571,2.25,26
187,168.4878,92,Female,None,Low,Lagging,High,1.123595,2.5,1.837278,1.75,27
99,178.8071,97,Male,None,Low,Lagging,Low,1.282051,2.5,2.139665,2,24
229,179.0585,69,Male,None,Medium,Lagging,Low,0.862069,3,2.575419,2.5,25
32,179.2083,48,Female,None,Low,Immediate,Medium,0.7849293,2.75,2.25838,2.25,23
2,179.8793,34,Female,WheelChair,Medium,Lagging,Low,0.8016675,3,2.559723,2.5,25
182,183.4599,86,Male,None,Low,Lagging,Low,1.010101,3,2.63587,2.5,26
92,185.9984,20,Female,None,Medium,Lagging,Low,0.6993007,3,2.653225,2.5,25
184,187.8695,57,Female,None,Medium,Lagging,Low,0.8116883,3,2.486702,2.25,27
63,188.9324,63,Female,None,Medium,Lagging,Medium,0.8319467,2.75,2.306878,1.75,25
5,189.4627,28,Female,None,Low,Lagging,Low,0.7092199,2.75,2.202632,2,25
91,190.3894,52,Female,None,Low,Lagging,Low,0.7980846,3,2.268324,2,25
222,198.0865,99,Female,None,Low,Immediate,High,1.785714,2,1.531566,1.5,26
186,199.0317,63,Female,WheelChair,High,Lagging,Medium,0.9243853,2.75,2.330403,2,27
143,205.1847,99,Female,None,Low,Lagging,Low,1.785714,3,2.213414,2.25,26
176,205.8562,77,Male,WheelChair,Low,Lagging,High,1.028807,2.5,1.830097,1.75,25
248,207.0606,88,Male,None,Low,Lagging,Low,1.030928,3,2.487923,2,24
155,208.914,25,Female,None,Low,Immediate,Low,0.7017544,3,2.553828,2.5,26
218,219.1053,54,Male,None,Low,Lagging,Low,0.8097166,2.75,2.203196,2,25
264,219.5043,67,Male,None,Low,Lagging,Low,0.8474576,3,2.354545,2.25,26
56,220.7416,92,Female,None,Low,Lagging,Low,1.123595,2.75,2.329185,2,26
29,225.0044,98,Male,None,Low,Lagging,Low,1.298701,2.75,2.048889,2,27
130,230.0772,48,Female,None,Low,Lagging,Low,0.7849293,3,2.502174,2.5,25
157,238.0154,58,Female,None,Low,Lagging,Medium,0.8156607,2.75,2.404411,2.25,27
87,252.7214,32,Male,None,Medium,Lagging,Medium,0.729927,2.75,2.433794,2.25,27
17,261.9691,40,Male,None,Medium,Lagging,Low,0.7547169,3,2.626908,3,25
100,263.4242,39,Female,None,Low,Lagging,Low,0.7407407,3,2.434658,2.75,26
34,265.1669,94,Female,None,Low,Lagging,Medium,1.176471,2.75,2.110378,2,27
150,274.2276,46,Female,None,Medium,Immediate,Low,0.7794232,3,2.666057,3,23
197,283.3012,64,Female,None,Low,Immediate,Low,0.8368201,3,2.729754,2.75,27
162,289.7067,28,Male,None,Low,Lagging,Low,0.7117438,3,2.510345,2.5,26
258,295.436,95,Female,WakingStick,Low,Lagging,Low,1.470588,3,2.621623,2.5,25
22,306.2635,73,Male,None,Low,Immediate,Low,0.8928571,3,2.656863,2.75,26
18,314.9418,43,Male,None,Low,Lagging,Low,0.7722008,3,2.695237,3,25
266,334.9389,84,Female,None,Medium,Lagging,Low,0.9587728,3,2.60821,2.5,25
41,350.1393,59,Male,None,Low,Lagging,Low,0.8264462,3,2.708573,2.5,26
260,427.5942,77,Male,None,Low,Lagging,Low,0.9259259,3,2.524534,2.25,26
93,523.5986,70,Male,None,Low,Lagging,Low,0.8695652,3,2.49332,2.5,26
232,543.7333,70,Female,None,Low,Lagging,Low,0.8643043,3,2.534468,2.5,26
244,554.7971,93,Male,None,Low,Immediate,Low,1.149425,3,2.519821,2.75,27
